entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2021-11-15,2021-11-17,2960.7550283203122,2986.235871459961,3300,2,36944.571043400094,0.8606197708327157
2022-05-12,2022-05-17,3196.5115195312496,3289.4120883789064,3100,5,239592.49590316974,2.9063110919518964
2022-12-07,2022-12-12,3522.082182495117,3585.0893710937503,2900,5,133163.57249958813,1.788918751293811
2023-01-05,2023-01-12,3433.29025012207,3368.1986031494143,3000,7,-244148.0231910646,-1.8958970034747669
2023-02-22,2023-02-27,3566.370673095703,3600.2304783935547,2800,5,46600.49136856012,0.9494191266568697
2023-08-16,2023-08-22,4344.548141601562,4379.483479248047,2300,6,32154.44640153274,0.8041190132515474
2023-09-08,2023-09-14,4206.937866943359,4261.64984741211,2400,6,82464.03351375274,1.3005179111072351
2023-09-26,2023-10-02,4088.9860982666014,4124.178090332031,2500,6,38657.00504189916,0.8606532577928983
2023-10-09,2023-10-11,4030.01033605957,4124.178090332031,2500,2,186376.54542996362,2.336662847483817
2024-01-25,2024-01-29,4409.24307055664,4444.6984140625,2300,4,32632.75942334719,0.8041140608150643
2024-04-02,2024-04-18,4701.586434814453,4531.35867553711,2200,16,-423063.7700576093,-3.620645108570919
