Date,Close,High,Low,Open,Volume,BB_SMA,BB_STD,BB_Upper,BB_Lower,Pct_B,BandWidth,BW_Squeeze,ADX,ATR,Vol_MA,Vol_Ratio,Equity
2018-02-06,7086.94921875,7127.4460714285715,7026.203939732142,7046.4523660714285,6984600,7119.346215820313,55.898613137816845,7231.143442095947,7007.548989544679,0.3551082251788667,3.1406599113610394,False,11.00176812497063,102.8309322385735,8896295.0,0.7851133533678908,10000000.0
2018-02-07,7147.6943359375,7147.6943359375,7086.949058294972,7086.949058294972,3048600,7123.395922851562,54.80705580872091,7233.0100344690045,7013.78181123412,0.6108361538829059,3.0775802104668815,False,10.24954067699586,99.82481405314168,7857190.0,0.3880013083557862,10000000.0
2018-02-08,7248.93505859375,7248.93505859375,7086.947682982716,7147.692948836854,6702000,7132.507666015625,59.805670288262284,7252.119006592149,7012.8963254391,0.9866904426325607,3.3539772034578705,False,10.779930605459661,104.26499702156254,7513150.0,0.8920359636104697,10000000.0
2018-02-09,7228.6875,7248.935924369748,7086.948529411765,7086.948529411765,2997700,7135.544921875,63.14898366545537,7261.842889205911,7009.246954544089,0.8687413981927312,3.5399669881897062,False,11.272444900124405,108.3880254455926,7353415.0,0.40766093032964956,10000000.0
2018-02-12,7208.43896484375,7248.93581296085,7188.1905407852,7228.6873889023,4221100,7137.569750976562,64.86830220529053,7267.306355387143,7007.833146565981,0.7731272881279746,3.6353159110726874,False,11.729779602313094,104.9849716405967,7379010.0,0.5720415069230154,10000000.0
2018-02-13,7208.43896484375,7228.6873889023,7188.1905407852,7208.43896484375,2290900,7139.594580078125,66.47832493639991,7272.551229950925,7006.637930205325,0.7588978619402978,3.724487388787981,False,12.154447540059733,100.37867710320408,6959880.0,0.32915797398805724,10000000.0
2018-02-14,7248.93505859375,7248.93505859375,7167.941370788233,7167.941370788233,1151800,7142.631762695312,70.10412751707834,7282.840017729469,7002.423507661156,0.879090717135524,3.9259550174891884,False,12.175278453838317,98.99403501051214,6588815.0,0.17481140387156113,10000000.0
2018-02-15,7269.1845703125,7289.432995299443,7248.936145325558,7248.936145325558,4885100,7146.681420898438,75.04003232219456,7296.761485542827,6996.601356254048,0.9081259882994117,4.19999313822841,False,12.740883703536545,94.81574227445363,6478210.0,0.7540817602393254,10000000.0
2018-02-16,7269.1845703125,7269.1845703125,7269.1845703125,7269.1845703125,0,7157.818090820312,75.90490346323254,7309.627897746777,7006.008283893847,0.8667960645853809,4.241790025962149,False,13.266088578256328,88.04318925484979,5561745.0,0.0,10000000.0
2018-02-19,7370.4267578125,7370.4267578125,7269.184632018372,7289.433057177198,2251200,7174.016870117188,84.92144315906074,7343.8597564353095,7004.173983799066,1.0782105213621653,4.734945272448104,False,14.907142253020869,88.9859748437891,4970870.0,0.45287846996602205,10000000.0
2018-02-20,7188.19140625,7350.1788182218315,7147.694553257043,7350.1788182218315,4421100,7175.029321289063,84.96590510848918,7344.961131506041,7005.097511072085,0.538727548844831,4.736755840502916,False,14.41589643177811,98.53927696605112,4802500.0,0.9205830296720459,10000000.0
2018-02-21,7147.6943359375,7208.439613580029,7107.197484175815,7208.439613580029,3621700,7174.016918945313,85.17516723116393,7344.36725340764,7003.666584482985,0.42273985521985047,4.749092074552057,False,13.425843117791734,98.73233785449135,4349755.0,0.8326216074238664,10000000.0
2018-02-22,7208.43896484375,7208.43896484375,7127.445268609551,7188.1905407852,3901700,7177.054150390625,85.2701207972766,7347.594391985178,7006.513908796072,0.5920158613582241,4.752374387067173,False,12.506507897661526,97.46529202447047,4170890.0,0.9354598179285476,10000000.0
2018-02-23,7228.6875,7329.92962184874,7086.948529411765,7086.948529411765,5070100,7181.10380859375,85.72443180907294,7352.552672211896,7009.654944975604,0.638769340321291,4.775000283743847,False,13.031024365081047,107.85927776822079,4269105.0,1.1876259778103373,10000000.0
2018-02-26,7228.6875,7269.184348739496,7167.9422268907565,7228.6875,2994500,7183.12861328125,86.37642920978814,7355.881471700826,7010.375754861674,0.6318614555369555,4.809961444938201,False,13.518075370542029,107.38662377397215,4234510.0,0.7071656460841986,10000000.0
2018-02-27,7289.43359375,7289.43359375,7208.439887152778,7269.185167100694,3027600,7195.277734375,83.16909406799427,7361.615922510989,7028.939546239012,0.7830253847000647,4.623537666692634,False,14.177291709804527,105.50141540420427,3871960.0,0.7819295653880722,10000000.0
2018-02-28,7269.1845703125,7329.929845273329,7208.439295351672,7289.432995299443,3183900,7205.401953125,78.90864361122152,7363.219240347443,7047.5846659025565,0.7020774096110235,4.380526950449931,False,15.18800093538389,106.64349644116521,3660785.0,0.8697314920160567,10000000.0
2018-03-01,7289.43359375,7370.427300347223,7228.688313802084,7269.185167100694,3388200,7217.55107421875,71.50592525828422,7360.562924735318,7074.5392237021815,0.7513166540800841,3.9628912645290386,False,16.49601966986164,109.1503171628776,3679210.0,0.9209042158506854,10000000.0
2018-03-02,7370.4267578125,7370.4267578125,7269.184632018372,7309.681482336024,2119300,7229.700122070312,75.89774168086143,7381.4956054320355,7077.904638708589,0.9635402603081449,4.199219353464822,False,17.710608494733833,108.58544635082404,3481390.0,0.6087511022896027,10000000.0
2018-03-05,7289.43359375,7390.675726996528,7289.43359375,7370.427300347223,3145800,7239.8243408203125,69.04961899625268,7377.923578812818,7101.725102827807,0.6796145063898894,3.8149886376071427,False,19.029259878238186,108.06092398623149,3470345.0,0.9064804796064945,10000000.0
2018-03-06,7228.6875,7370.426470588235,7147.693802521008,7370.426470588235,2274900,7246.9112548828125,59.088643064059085,7365.08854101093,7128.733968754695,0.4228965417979905,3.2614525546588577,False,17.992864052266896,116.25176284915972,3234860.0,0.7032452718201097,10000000.0
2018-03-07,7066.7001953125,7248.936016968123,7066.7001953125,7228.68759233972,2871700,7242.861547851562,68.30346893000034,7379.468485711563,7106.254609991562,-0.14477454549050212,3.772181394259068,False,17.31908014848096,120.96490990676425,3226015.0,0.8901694505450223,10000000.0
2018-03-08,7127.44580078125,7208.439503062856,7066.700524070046,7188.1910774924545,3326800,7236.787084960937,72.97722739264215,7382.741539746222,7090.832630175652,0.12542669786770005,4.033681054085414,False,16.693423666394022,122.44879546702079,3057255.0,1.0881656911183397,10000000.0
2018-03-09,7289.43359375,7289.43359375,7107.19775390625,7188.191460503473,1054400,7239.824389648437,73.88090909888398,7387.586207846205,7092.06257145067,0.6678688199246594,4.081917191500912,False,15.872389424992797,126.71929863678716,2960090.0,0.356205385647058,10000000.0
2018-03-12,7370.4267578125,7370.4267578125,7147.69408106542,7289.433057177198,3017500,7247.923779296875,78.96345499913885,7405.850689295153,7089.996869298598,0.8878470696253125,4.357852394899167,False,15.92322887469592,133.57739707323668,2899910.0,1.040549534295892,10000000.0
2018-03-13,7066.7001953125,7410.923413995343,7066.7001953125,7370.426564738538,4525100,7240.836840820312,88.48067293064989,7417.798186681612,7063.875494959013,0.007981122486774692,4.887870000430819,False,15.016752672981504,148.62352718820858,3011620.0,1.5025468020533799,9976246.48863249
2018-03-14,7046.451171875,7127.444863505747,6985.705903151939,7107.19644059806,1899100,7230.712646484375,98.52009709595363,7427.752840676282,7033.672452292468,0.032426682370416134,5.450090574065602,False,14.522810817928471,148.1317724143228,3048985.0,0.6228630183487291,9947897.85581999
2018-03-15,6985.7060546875,7066.699748075182,6965.4576313405805,7046.451324728261,8421300,7216.538720703125,112.14373266951073,7440.826186042147,6992.251255364104,-0.014591097783173482,6.215929104504794,False,14.252610226609804,144.78251129434267,3225795.0,2.61061226767355,9862854.69175749
2018-03-16,7086.94921875,7127.4460714285715,6924.961808035714,6965.4586607142855,6026300,7207.426953125,115.00789129249353,7437.442735709988,6977.411170540013,0.23810985267829293,6.382743358509018,False,13.330269496537039,148.90406501566517,3527110.0,1.7085659364182006,10004595.12144499
2018-03-19,7147.6943359375,7289.4333171033995,7046.452206533287,7107.197484175815,1869400,7196.29033203125,109.02149685933858,7414.333325749927,6978.2473383125725,0.3885632707913349,6.059872063475563,False,13.70110009187586,155.62385398384,3508020.0,0.5328931990125484,10089638.28550749
