entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2021-10-28,2021-10-29,2483.855320678711,2534.3562114257816,4000,1,153727.73049858585,2.033165552221905
2021-11-02,2021-11-04,2483.855320678711,2534.3562114257816,4000,2,153727.73049858585,2.033165552221905
2021-11-08,2021-11-10,2475.015942260742,2525.5254239501955,4100,2,157780.0034457799,2.0407739936946445
2021-12-20,2021-12-29,2501.5340775146483,2507.864337036133,4100,9,-23351.393393112347,0.25305509840480855
2022-01-19,2022-01-20,2483.855320678711,2534.3562114257816,4100,1,157570.9237610493,2.033165552221905
2022-02-24,2022-03-09,2722.5175609130856,2693.305017578125,3800,13,-160344.46275635436,-1.0729974254110264
2022-04-04,2022-04-13,2898.619239624023,2858.715923095703,3500,9,-187953.39241204038,-1.3766318798565491
2022-04-18,2022-04-20,2824.5331428222653,2904.973544433594,3600,2,239937.7152999919,2.847918489317247
2022-05-12,2022-05-20,2917.1409470214844,2960.482397216797,3500,8,102247.19205415063,1.4857509795529689
2022-06-10,2022-06-15,3028.2699700927733,3071.5008348388674,3400,5,97137.31789840758,1.4275763116578855
2022-06-17,2022-06-24,2991.2265552978515,3071.5008348388674,3500,7,229892.5883272104,2.6836576252921907
2022-06-29,2022-07-18,2944.923385986328,2719.943303100586,3700,19,-882314.109722998,-7.63959035254802
2022-08-26,2022-08-29,3148.6599689941404,3164.0155894775394,3100,3,612.3161317594349,0.4876874808525056
2022-09-16,2022-09-19,3370.9182593994137,3413.806403076172,2900,3,77091.74520343728,1.272298536375649
2022-11-02,2022-11-07,3732.087767578125,3793.118361206055,2700,5,115936.87577949278,1.6352936326450518
2022-11-10,2022-11-11,3741.348743408203,3857.87893347168,2700,1,265231.20206861943,3.1146572547878337
2022-11-16,2022-11-18,3704.3055728759764,3765.3636907958985,2800,2,120681.07135881856,1.6483013271639368
2022-12-07,2022-12-16,3843.2172791748044,3737.609264404297,2700,9,-334122.82506282255,-2.747906430967728
2022-12-23,2022-12-26,3676.5228896484373,3719.106069458008,2700,3,66993.42253808863,1.1582460136306372
2022-12-30,2023-01-04,3676.5228896484373,3709.8548380126954,2800,5,43646.33236232959,0.9066160980013782
2023-01-06,2023-01-17,3630.2199645996093,3608.0883638916016,2800,11,-110578.92970889248,-0.6096490274370647
2023-02-01,2023-02-03,3593.176305541992,3672.8482041015627,2800,2,174142.09060401097,2.2173111415848767
2023-02-16,2023-02-17,3769.1309381103515,3811.6210681152347,2700,1,65542.71633733809,1.1273190213493933
2023-02-22,2023-03-02,3704.3055728759764,3783.8668857421876,2800,8,172339.77126546577,2.147806418800391
2023-03-14,2023-03-21,3676.5228896484373,3885.6336038818363,2900,7,553485.2515462488,5.687730513583045
2023-04-10,2023-04-14,3971.2475709228515,4064.515309692383,2800,4,207018.7671626769,2.3485752802829607
2023-05-08,2023-05-19,3990.714819213867,3947.8310052490237,2800,11,-173361.66970240325,-1.0745897892370793
2023-05-31,2023-06-09,3932.3135628662108,3986.726098754883,2800,9,99062.97641194426,1.3837283069819906
2023-06-14,2023-06-15,3932.3135628662108,3986.726098754883,2800,1,99062.97641194426,1.3837283069819906
2023-06-22,2023-06-26,3951.7808111572263,3986.726098754883,2800,4,44451.11543619074,0.8842921525149983
2023-07-07,2023-07-11,4010.181578979492,4103.410647216797,2800,4,206387.53060888313,2.3248091489420863
2023-08-15,2023-08-22,4516.320508300781,4628.491237304688,2500,7,225417.73862488195,2.483675124423601
2023-09-07,2023-09-15,4574.7207875976555,4609.043446533204,2600,8,31887.604954831302,0.7502678421074105
2023-09-26,2023-09-27,4613.654795654296,4667.386330810547,2500,1,78575.42671289295,1.1646197545352122
2023-10-06,2023-10-11,4691.522811767578,4706.280936279297,2500,5,-19509.958864625543,0.31457002563648473
2023-10-17,2023-10-25,4672.056052001953,4550.701050292969,2500,8,-358572.3531340938,-2.5974645928527273
2023-11-01,2023-11-02,4399.518972656249,4589.596143798828,2600,1,437861.4663215373,4.320408033785972
2023-11-10,2023-11-13,4496.853748535156,4531.253747558594,2600,3,33059.88668658398,0.7649792709990555
2023-11-29,2023-12-01,4555.254027832031,4589.596143798828,2600,2,32180.99169193767,0.7539012260780797
2023-12-06,2023-12-14,4516.320508300781,4628.491237304688,2600,8,234434.44816987775,2.483675124423601
2024-01-22,2024-01-29,5061.394178466797,5036.887522949219,2400,7,-116952.66785572469,-0.48418784732948694
2024-02-23,2024-02-28,5489.665824462891,5542.521298339844,2200,5,57973.95349963568,0.9628176935911226
2024-02-29,2024-03-06,5450.73230493164,5503.626692871094,2200,6,58470.45413166657,0.9704088364713259
2024-03-18,2024-03-19,5587.000111816406,5659.205602783203,2200,1,99392.68791380525,1.2923839184123764
2024-04-01,2024-04-18,5647.644676757812,5560.231677001953,2200,17,-251390.03231100924,-1.5477779633622513
2024-05-02,2024-05-15,5177.007620361328,5212.7170446777345,2300,13,24739.32993875444,0.6897695915292879
2024-05-21,2024-06-03,4931.457660644531,4987.854922607422,2400,13,78150.51151704974,1.1436225522723165
2024-07-31,2024-08-01,5238.394743896484,5519.347832275391,2300,1,586486.2681993823,5.363343201774917
2024-08-27,2024-08-28,5749.957037841797,5907.745821289062,2200,1,285409.0848259814,2.7441732591882317
2024-09-20,2024-09-23,5975.044134521484,6091.724586669922,2200,3,192856.10738130845,1.9527964902268158
2024-09-25,2024-10-08,5893.193659423828,5785.093799072266,2200,13,-299362.1407079082,-1.83431712240949
