entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2021-11-26,2021-12-02,4032.4979073486325,3994.3282528076174,2400,6,-137795.88599548675,-0.946551130788098
2022-01-20,2022-01-21,3776.1947709960937,3823.629709228516,2600,1,75846.2692279946,1.2561570869372707
2022-06-10,2022-06-17,4857.4612082519525,4870.1237785644535,2000,7,-21379.929882030934,0.26068289111582654
2022-07-06,2022-07-11,4261.238441162109,4239.460752197266,2300,5,-96987.49982417189,-0.5110647823524217
2022-09-28,2022-10-04,4769.780671142578,4712.458510009766,2000,6,-160101.74817402288,-1.2017777144264663
2023-05-31,2023-06-05,5004.7042265625,5290.382294189453,1900,5,495571.33979233727,5.708190827955728
2023-07-18,2023-07-24,5101.694103515625,5077.216957519531,1900,6,-92899.15854220465,-0.4797846656314886
2023-08-29,2023-08-30,4965.907982666015,4999.7020234375,2000,1,19719.359472898766,0.680520881366431
2023-09-11,2023-09-19,4946.509616455078,4922.187089355469,2000,8,-95990.47586000897,-0.49171090295059283
