entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2021-04-12,2021-04-22,3386.8131657714844,3633.4353032226563,3436.492583035779,2900,10,665985.6671648957,7.281834733124226,signal,2.0
2023-11-28,2023-12-01,4377.278365722656,4530.484601074219,4315.452773909093,2400,3,316202.4026725795,3.500034097700566,signal,2.0
2024-01-17,2024-01-23,4258.973148925781,4085.431727745884,4087.475465478623,2500,6,-483703.0554332994,-4.074724472580171,stop_loss,2.0
2024-04-19,2024-04-30,3864.624217529297,4057.7386704101564,3857.103967930245,2700,11,469811.4067530837,4.996978800808738,signal,2.0
2024-05-31,2024-07-01,3689.5899667968747,3969.4329918212893,3777.51966089845,2900,31,757832.200392535,7.584664625141557,signal,2.0
