fold,oos_start,oos_end,oos_days,num_std,window,adx_threshold,vol_ratio_min,atr_mult
1,2020-12-14,2021-12-20,250,1.5,25,20,1.2,2.0
2,2021-12-21,2022-12-26,250,2.0,15,25,1.2,2.0
3,2022-12-27,2024-01-10,250,2.0,15,25,1.2,2.0
4,2024-01-11,2025-02-03,250,2.0,15,25,1.2,2.0
5,2025-02-04,2026-02-23,250,2.0,15,25,1.2,2.0
6,2026-02-24,2026-06-30,82,2.0,15,25,1.2,2.0
