entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2018-02-06,2018-02-08,2465.511436523437,2509.085649902344,2397.823146696862,4000,2,126453.57305918075,1.767349878544855,signal,2.5
2018-03-07,2018-03-12,2434.788807495117,2555.1236545410156,2382.7017547970518,4100,5,444025.44782530516,4.942311492293161,signal,2.5
2018-06-20,2018-06-29,2112.331516845703,2157.46394128418,2012.7572990640913,4900,9,170825.51072105393,2.1366165338418064,signal,2.5
2018-07-03,2018-07-13,1994.104097717285,2078.724278076172,1911.4019742440598,5300,10,396456.3354840595,4.24351870375046,signal,2.5
2018-09-05,2018-09-14,1994.104097717285,2125.9682224121093,1968.936308889386,5500,9,670505.1048529167,6.612700151700879,signal,2.5
2018-10-02,2018-10-10,2033.5131967163086,2039.3545684814453,1887.4422197799092,5700,8,-22437.6598761566,0.28725516876748625,signal,2.5
2018-12-21,2018-12-28,2277.8502700195313,2322.817258422852,2204.433469871169,5100,7,172904.80448837206,1.9740976391277476,signal,2.5
2019-01-24,2019-02-01,2356.668712280273,2393.682930908203,2254.51367511267,5000,8,127974.3378748186,1.5706161173631994,signal,2.5
2019-02-20,2019-02-21,2238.4411710205077,2307.069276977539,2163.1298559725715,5300,1,305728.20419294573,3.0658882996573933,signal,2.5
2019-03-05,2019-03-15,2191.1497148437497,2236.2038485107423,2102.618030248835,5600,10,192673.3650694061,2.056186912367397,signal,2.5
2019-04-11,2019-04-16,2333.0228620605467,2401.5569216308595,2266.856789613594,5300,5,302825.04561624303,2.9375648513698227,signal,2.5
2019-05-15,2019-05-23,2340.904974975586,2385.808940185547,2226.028364184868,5400,8,181101.959087234,1.9182310127915159,signal,2.5
2019-07-18,2019-07-30,2554.933810913086,2584.89440625,2473.2798116383638,5100,12,89811.139322076,1.172656419079865,signal,2.5
2019-08-05,2019-08-14,2416.609312133789,2438.5799047851565,2298.319602597683,5400,9,55658.627465957776,0.909149548545285,signal,2.5
2020-01-31,2020-02-05,2457.292973876953,2503.608653442383,2354.537164540695,5300,5,182247.69644642808,1.8848252958765466,signal,2.5
2020-02-26,2020-03-04,2489.8402452392575,2553.192979736328,2360.5015669425065,5300,7,271454.22546636686,2.544449774165458,signal,2.5
2020-12-22,2021-01-07,2188.1982886962887,2211.6284958496094,2053.6731318179645,6200,16,79725.22815437056,1.0707533807313263,signal,2.5
2021-01-29,2021-03-01,2248.0319014892575,2245.7849930419925,2066.548839843367,6100,31,-79488.76779348962,-0.09995002498748295,signal,2.5
2021-03-31,2021-04-07,2174.478297363281,2234.1189539794923,2098.206831535122,6200,7,303987.2578850202,2.742757041471977,signal,2.5
2021-04-26,2021-04-28,2112.6031369628904,2189.966236694336,2057.102751501216,6600,2,442188.46111969836,3.6619797811464183,signal,2.5
2021-06-28,2021-07-01,2015.3704628906248,2110.4915895996096,1968.6282831621372,7100,3,604717.6302595399,4.719783705302172,signal,2.5
2021-07-30,2021-08-05,2015.3704628906248,2136.9832199707034,2000.142995150674,7400,6,825738.633783767,6.034263145131669,signal,2.5
2022-07-01,2022-07-19,2815.2721669921875,2747.6979735107425,2604.845805440851,5600,18,-452992.5944427047,-2.400272139714321,signal,2.5
2023-01-10,2023-01-17,3435.7433803710937,3608.088119873047,3363.5765011353506,4400,7,683554.8347391114,5.016228525290467,signal,2.5
2023-02-28,2023-03-02,3704.3058171386715,3783.8668857421876,3596.839835020458,4300,2,264663.5964038912,2.147799683152818,signal,2.5
2023-03-14,2023-03-21,3676.5238666992186,3885.632871826172,3667.7607190458466,4400,7,839763.2075884864,5.6876825150244725,signal,2.5
2023-06-08,2023-06-09,3912.8465588378904,3986.725366699219,3782.804198106791,4300,1,235996.45209526643,1.888108995597082,signal,2.5
2023-10-18,2023-11-02,4555.254516357421,4589.596631835938,4323.814498940398,3800,15,47033.74632743001,0.7539011345073732,signal,2.5
