Date,Close,High,Low,Open,Volume,BB_SMA,BB_STD,BB_Upper,BB_Lower,Pct_B,BandWidth,BW_Squeeze,ADX,ATR,Vol_MA,Vol_Ratio,Equity
2018-02-06,18954.27734375,19268.506079554874,18853.72414829244,18991.984792046584,6184000,19296.7849609375,592.4411546244351,20481.66727018637,18111.90265168863,0.35546766353334047,12.280618887005575,False,23.40759180071465,469.03094799133515,3605340.0,1.715233514730927,10000000.0
2018-02-07,19356.486328125,19909.528794642854,19268.502299360793,19268.502299360793,3638900,19337.0060546875,565.9340115429379,20468.874077773376,18205.138031601622,0.5086053643358484,11.70675563616013,False,22.39771072177476,503.76098391287223,3464630.0,1.0502997434069439,10000000.0
2018-02-08,19482.1796875,19519.887132056454,19281.07331653226,19356.488205645164,2823500,19384.76875,533.3392638038424,20451.447277607684,18318.090222392315,0.5456608692210535,11.005326309169249,False,21.459964005616293,484.83618617082385,3485990.0,0.8099564255778129,10000000.0
2018-02-09,19406.76171875,19406.76171875,19054.825625404796,19356.4851339864,4363200,19424.36123046875,501.6298587891865,20427.620948047123,18421.101512890375,0.4912288356592102,10.329912069434505,False,20.021299910330498,480.7303201654225,3532460.0,1.2351732220605471,10000000.0
2018-02-12,18929.138671875,19105.106760458166,18702.893986553783,19105.106760458166,3180000,19436.3021484375,485.83056350073167,20407.96327543896,18464.641021436037,0.23902245213431517,9.998415537901838,False,19.283287510933448,496.66870673905066,3634650.0,0.8749123024225166,10000000.0
2018-02-13,18929.138671875,19105.106760458166,18916.569522690486,18979.415268613047,2944500,19444.4720703125,475.21861734177037,20394.90930499604,18494.034835628958,0.22889667006307635,9.775911953245084,False,18.5979902829219,474.65931609823843,3649480.0,0.8068272740226005,10000000.0
2018-02-14,18966.845703125,19142.813787845844,18916.569107490475,18954.27655421637,1144800,19445.10048828125,474.54410973483033,20394.18870775091,18496.012268811588,0.24804513671895972,9.761720902822143,False,17.857277637738676,456.9154135451763,3606660.0,0.31741278634526127,10000000.0
2018-02-15,18979.416015625,19205.660709850996,18966.84686594578,19155.384111134106,1369100,19458.92646484375,455.42474227778524,20369.775949399318,18548.07698028818,0.23677843740960283,9.36176501001935,False,16.988956575764,441.336813058092,3506025.0,0.3904992120706498,10000000.0
2018-02-16,18979.416015625,18979.416015625,18979.416015625,18979.416015625,0,19467.7251953125,443.64183499578,20355.008865304062,18580.44152532094,0.22482916332036967,9.115432451298453,False,16.182658446787517,409.812754982514,3357165.0,0.0,10000000.0
2018-02-19,19205.658203125,19281.073091357168,19105.105018815444,19105.105018815444,2193100,19459.5552734375,447.04598548643656,20353.647244410375,18565.46330246463,0.3580140083149205,9.189233344847487,False,15.488076421112197,402.087349321775,3225605.0,0.6799034599710752,10000000.0
