entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2021-03-31,2021-04-09,2174.4785416259765,2287.1017266845706,2171.184643731831,4500,9,458365.86369953863,5.179319220799461,signal,2.0
2021-04-26,2021-05-11,2112.6031369628904,2092.866222054708,2093.91317864403,4900,15,-146118.8472706154,-0.9342462179885103,stop_loss,2.0
2021-05-19,2021-05-31,2006.5310844726562,2119.321889038086,1997.4747337520814,5100,12,524445.0463362783,5.621184014454106,signal,2.0
2021-06-28,2021-07-16,2015.3702186279295,2075.1694157714846,1997.203867017184,5300,18,264745.6128388513,2.967156931805137,signal,2.0
2022-07-01,2022-07-20,2815.2721669921875,2923.4764953613285,2755.4831034313775,3900,19,368071.19471970014,3.8434766498880224,signal,2.0
2023-01-10,2023-01-17,3435.7433803710937,3608.088119873047,3412.839729423792,3300,7,512666.1260543335,5.016228525290467,signal,2.0
2023-03-14,2023-03-21,3676.523622436523,3885.6336038818363,3711.7245476318562,3200,7,610739.9971565641,5.687709448381861,signal,2.0
2023-10-18,2023-11-02,4555.254027832031,4589.596143798828,4377.429709544909,2700,15,33418.722141629085,0.7539012260780797,signal,2.0
2023-12-07,2023-12-14,4477.386988769531,4628.491725341797,4439.2183194103845,2800,7,361690.21081231534,3.374841999391087,signal,2.0
2024-05-02,2024-05-17,5177.007620361328,5376.253399658203,4991.670999000962,2500,15,434545.82489794865,3.8486669116196692,signal,2.0
2024-09-30,2024-10-17,5668.1070512695305,5907.745821289062,5635.843480349244,2300,17,486994.8786028754,4.227844814008197,signal,2.0
