entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2021-03-31,2021-04-15,2779.7910563964842,2850.4490625000003,3500,15,199885.35285289586,2.5418459398567794
2022-10-10,2022-10-24,3233.5080358886717,3326.37138269043,3100,14,238926.9340236783,2.871907098144466
2023-01-05,2023-01-20,3433.290005859375,3480.4720281982422,3000,15,91696.20733787864,1.3742510029256083
2023-09-08,2023-10-12,4206.93835546875,4163.455316894531,2400,34,-152520.58048464917,-1.0336029411434966
2023-10-19,2023-11-03,3931.7180504150388,4006.3439704589846,2600,15,144396.87140794843,1.8980486160768306
2024-01-26,2024-02-01,4329.43756274414,4584.218462890625,2400,6,559825.7645637337,5.8848498553007556
2024-08-05,2024-08-14,3752.9846854248044,3989.2507147216797,2900,9,630942.9408334382,6.295416824226452
