Date,Close,High,Low,Open,Volume,BB_SMA,BB_STD,BB_Upper,BB_Lower,Pct_B,BandWidth,BW_Squeeze,ADX,ATR,Vol_MA,Vol_Ratio,Equity
2018-02-06,2640.468505859375,2698.7753813830836,2582.1616303356664,2682.1162740905957,9721100,2838.2953857421876,128.8391616936131,3095.9737091294137,2580.6170623549615,0.11613596890428333,18.157259084564632,False,38.68040289157722,90.65556706010284,6904910.0,1.4078532522509344,10000000.0
2018-02-07,2740.42333984375,2765.4120025170973,2665.4573518237084,2665.4573518237084,7831900,2839.961315917969,127.25926841233205,3094.479852742633,2585.442779093305,0.30445829738760843,17.92408476820362,False,36.66139626206865,93.10470488850423,6895695.0,1.1357665906047179,10000000.0
2018-02-08,2698.775390625,2757.0822663483796,2698.775390625,2748.752712673611,3016600,2842.0437255859374,124.41905601570525,3090.881837617348,2593.2056135545267,0.21212541802508786,17.511209260519614,False,34.7866043918107,90.6191456624239,6731995.0,0.4480989662054116,10000000.0
2018-02-09,2665.457275390625,2698.7754913330077,2640.468613433838,2673.786829376221,4837300,2841.62724609375,125.02438977441098,3091.676025642572,2591.578466544928,0.14772879311588957,17.598985221763495,False,33.6444443942825,88.31112653647716,6773250.0,0.7141770937142435,10000000.0
2018-02-12,2757.08251953125,2798.7302917296074,2665.457420694864,2690.4460840138786,5472300,2845.3755737304687,121.05106058275169,3087.477694895972,2603.2734525649653,0.31765328247813934,17.01723480026168,False,31.33402200478762,91.52269009379897,6867780.0,0.7968077020521915,10000000.0
2018-02-13,2848.707275390625,2857.0368288274394,2782.0708478961074,2790.4004013329222,4569000,2849.9568115234374,119.25415321417819,3088.4651179517937,2611.448505095081,0.4973805186252753,16.73767865281174,False,29.615929114019245,92.12494860825544,6795610.0,0.6723458232594278,10000000.0
2018-02-14,2823.71875,2898.6847345132746,2823.71875,2848.7074115044247,8599600,2849.1238647460937,119.38269034564921,3087.889245437392,2610.358484054795,0.44679899851364946,16.760617791713784,False,28.425635089890555,90.89930831575681,6783760.0,1.2676745639586307,10000000.0
2018-02-15,2873.696044921875,2873.696044921875,2840.377829908288,2840.377829908288,2427900,2847.4579467773438,118.76320539200252,3084.9843575613486,2609.931535993339,0.5552319593807,16.68340078931309,False,27.320362067485345,87.97630735905098,6480355.0,0.37465540082294874,10000000.0
2018-02-16,2873.696044921875,2873.696044921875,2873.696044921875,2873.696044921875,0,2843.7096435546873,116.56361260134365,3076.8368687573748,2610.582418352,0.5643133836923522,16.39599357347006,False,26.294037118109078,81.69228540483306,6208710.0,0.0,10000000.0
2018-02-19,3023.628173828125,3023.628173828125,2873.6961982663997,2873.6961982663997,8114500,2852.4556884765625,123.32461978285379,3099.10492804227,2605.806448910855,0.8469957694841426,17.29381743331744,False,26.682146807377357,86.56655994064856,6363340.0,1.275195101943319,10000000.0
2018-02-20,2998.639404296875,3023.628065999349,2948.6620808919274,3023.628065999349,3003500,2855.7875122070313,126.4474447196538,3108.682401646339,2602.892622767724,0.7824333311095376,17.711043861513584,False,27.04253437598362,85.73795515461636,6173190.0,0.4865393742943276,10000000.0
2018-02-21,3015.29833984375,3015.29833984375,2956.991465868871,2998.639232993785,6934400,2856.620458984375,127.48856177784675,3111.5975825400687,2601.6433354286814,0.8111610144600199,17.851662635388855,False,27.377179975403724,83.77859221320657,6284500.0,1.103413159360331,10000000.0
