entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2025-02-06,2025-02-25,4174.345895507812,4100.747150373139,4102.798549647963,2300,19,-214870.9888661038,-1.7631204259780042,stop_loss,2.0
2025-09-01,2025-09-09,4143.88340625,4019.323386937013,4021.334053963995,2300,8,-331405.70189605094,-3.0058765438506274,stop_loss,2.0
2025-10-14,2025-10-20,3684.4528780517576,3869.7584887695316,3663.845209633894,2500,6,417707.12658010796,5.029392880056549,signal,2.0
2026-01-28,2026-02-04,4190.83655859375,4590.622485839844,4277.573666604187,2300,7,870574.2249244098,9.53952562111473,signal,2.0
2026-03-09,2026-04-02,4429.787517333984,4277.550925569124,4279.690770954601,2400,24,-415339.405756671,-3.4366567508972157,stop_loss,2.0
2026-04-07,2026-04-21,4144.88439477539,4315.1850781250005,4097.202572846583,2400,14,359787.27905513905,4.108695614388513,signal,2.0
2026-04-28,2026-05-07,4071.360834960937,4260.097889404297,4049.2262148649825,2600,9,438482.6809419207,4.635724075907688,signal,2.0
2026-06-04,2026-06-08,3971.9849999999997,3762.119138499162,3764.0011390686964,2700,4,-616471.5019567106,-5.283651914617948,stop_loss,2.0
