,Close,Equity
2021-01-25,2494.66650390625,10000000.0
2021-01-26,2520.29638671875,10000000.0
2021-01-27,2494.66650390625,10000000.0
2021-01-28,2409.232421875,10000000.0
2021-01-29,2246.908447265625,10000000.0
2021-02-01,2289.625244140625,10000000.0
2021-02-02,2212.73486328125,10000000.0
2021-02-03,2221.2783203125,10000000.0
2021-02-04,2246.908447265625,10000000.0
2021-02-05,2238.364990234375,10000000.0
2021-02-08,2246.908447265625,10000000.0
2021-02-09,2221.2783203125,10000000.0
2021-02-10,2221.2783203125,10000000.0
2021-02-11,2221.2783203125,10000000.0
2021-02-15,2221.2783203125,10000000.0
2021-02-16,2212.73486328125,10000000.0
2021-02-17,2170.01806640625,10000000.0
2021-02-18,2135.844482421875,10000000.0
2021-02-19,2178.56103515625,10000000.0
2021-02-22,2178.56103515625,10000000.0
2021-02-23,2161.474609375,10000000.0
2021-02-24,2178.56103515625,10000000.0
2021-02-25,2144.387939453125,10000000.0
2021-02-26,2101.6708984375,10000000.0
2021-03-01,2246.908447265625,10000000.0
2021-03-02,2255.45166015625,10000000.0
2021-03-03,2255.45166015625,10000000.0
2021-03-04,2238.364990234375,10000000.0
2021-03-05,2212.73486328125,10000000.0
2021-03-08,2195.648193359375,10000000.0
2021-03-09,2195.648193359375,10000000.0
2021-03-10,2221.2783203125,10000000.0
2021-03-12,2298.16845703125,10000000.0
2021-03-15,2272.538330078125,10000000.0
2021-03-16,2238.364990234375,10000000.0
2021-03-17,2229.821533203125,10000000.0
2021-03-18,2323.798583984375,10000000.0
2021-03-19,2315.25537109375,10000000.0
2021-03-22,2263.9951171875,10000000.0
2021-03-23,2281.081787109375,10000000.0
2021-03-24,2270.576171875,10000000.0
2021-03-25,2261.740966796875,10000000.0
2021-03-26,2270.576171875,10000000.0
2021-03-29,2252.90576171875,10000000.0
2021-03-30,2235.236328125,10000000.0
2021-03-31,2173.3916015625,10000000.0
2021-04-01,2191.0615234375,10000000.0
2021-04-05,2199.896484375,10000000.0
2021-04-06,2217.56640625,10000000.0
2021-04-07,2235.236328125,10000000.0
2021-04-08,2217.56640625,10000000.0
2021-04-09,2288.245849609375,10000000.0
2021-04-12,2226.4013671875,10000000.0
2021-04-13,2226.4013671875,10000000.0
2021-04-14,2235.236328125,10000000.0
2021-04-15,2226.4013671875,10000000.0
2021-04-16,2226.4013671875,10000000.0
2021-04-19,2199.896484375,10000000.0
2021-04-20,2191.0615234375,10000000.0
2021-04-21,2164.556640625,10000000.0
2021-04-22,2164.556640625,10000000.0
2021-04-23,2173.3916015625,9976518.07945403
2021-04-26,2111.547119140625,9698217.908555593
2021-04-27,2138.052001953125,9817489.881211845
2021-04-28,2191.0615234375,10056032.72789153
2021-04-29,2199.896484375,10095790.05211028
2021-04-30,2182.2265625,10016275.40367278
2021-05-03,2138.052001953125,9817489.881211843
2021-05-04,2155.7216796875,9897003.43101653
2021-05-05,2138.052001953125,9817489.881211843
2021-05-06,2146.886962890625,9857247.205430593
2021-05-07,2102.71240234375,9658461.682969658
2021-05-10,2111.547119140625,9698217.908555593
2021-05-11,2085.042724609375,9587801.975923054
2021-05-17,2093.87744140625,9587801.975923054
2021-05-18,2085.042724609375,9587801.975923054
2021-05-19,2005.528076171875,9587801.975923054
2021-05-20,1996.6932373046875,9587801.975923054
2021-05-21,2058.53759765625,9587801.975923054
2021-05-24,2032.032958984375,9587801.975923054
2021-05-25,2085.042724609375,9587801.975923054
2021-05-27,2032.032958984375,9587801.975923054
2021-05-28,2049.703125,9587801.975923054
2021-05-31,2120.382080078125,9587801.975923054
2021-06-02,2155.7216796875,9587801.975923054
2021-06-03,2208.731689453125,9587801.975923054
2021-06-04,2164.556640625,9587801.975923054
2021-06-07,2164.556640625,9587801.975923054
2021-06-08,2120.382080078125,9587801.975923054
2021-06-09,2173.3916015625,9587801.975923054
2021-06-10,2191.0615234375,9587801.975923054
2021-06-11,2217.56640625,9587801.975923054
2021-06-14,2217.56640625,9587801.975923054
2021-06-15,2235.236328125,9587801.975923054
2021-06-16,2217.56640625,9587801.975923054
2021-06-17,2191.0615234375,9587801.975923054
2021-06-18,2191.0615234375,9587801.975923054
2021-06-21,2129.217041015625,9587801.975923054
2021-06-22,2182.2265625,9587801.975923054
2021-06-23,2129.217041015625,9587801.975923054
2021-06-24,2111.547119140625,9587801.975923054
2021-06-25,2085.042724609375,9587801.975923054
2021-06-28,2014.3631591796875,9565070.965356003
2021-06-29,2040.8681640625,9689644.488305222
2021-06-30,2085.042724609375,9897264.922875537
2021-07-01,2111.547119140625,10021835.577172412
2021-07-02,2102.71240234375,9980312.4082271
