entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2025-01-13,2025-01-15,3295.5514932861324,3497.48890612793,3359.266330478181,3000,2,556599.4415303506,6.127575710869482,signal,1.5
2025-02-28,2025-03-06,2876.117760131836,3377.7707189941407,3180.308420550509,3600,6,1751014.0801186953,17.442017354647877,signal,1.5
2026-06-04,2026-06-08,2811.4049999999997,2676.696291463234,2678.0353091177926,4300,4,-635595.0283126403,-4.791508464158156,stop_loss,1.5
