entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2024-12-17,2024-12-24,2246.720455078125,2347.274994140625,4400,7,393706.1599453129,4.4756141706558505
2025-02-10,2025-02-17,2092.3654841308594,2270.1748916015626,4900,7,819526.9887395296,8.498009015120168
2025-04-08,2025-04-14,1963.7365045166014,2081.7076489257815,5600,6,605937.320064798,6.00748339392001
2025-10-17,2025-10-21,2664.197155517578,3031.1918978271488,4400,4,1553826.169325713,13.775059460202543
2026-03-04,2026-03-25,2960.219115966797,3049.674595214844,4500,21,337441.5297071431,3.0219208694904687
2026-04-23,2026-05-13,2664.197155517578,2735.4658114013673,5100,20,297196.53521973453,2.6750518720505045
2026-06-05,2026-06-15,2553.188798217773,2707.7413992919924,5400,10,765985.0984181557,6.053316589125846
