,Close,Equity
2021-01-25,5944.54248046875,10000000.0
2021-01-26,5762.8681640625,10000000.0
2021-01-27,5737.5185546875,10000000.0
2021-01-28,5830.46728515625,10000000.0
2021-01-29,5712.1689453125,10000000.0
2021-02-01,5762.8681640625,10000000.0
2021-02-02,5745.966796875,10000000.0
2021-02-03,5767.09326171875,10000000.0
2021-02-04,5792.44384765625,10000000.0
2021-02-05,5843.14208984375,10000000.0
2021-02-08,5847.3681640625,10000000.0
2021-02-09,5898.0673828125,10000000.0
2021-02-10,5847.3681640625,10000000.0
2021-02-11,5813.56787109375,10000000.0
2021-02-15,5745.966796875,10000000.0
2021-02-16,5864.26708984375,10000000.0
2021-02-17,5830.46728515625,10000000.0
2021-02-18,5691.04345703125,10000000.0
2021-02-19,5767.09326171875,10000000.0
2021-02-22,5737.5185546875,10000000.0
2021-02-23,5767.09326171875,10000000.0
2021-02-24,5682.59423828125,10000000.0
2021-02-25,5665.69384765625,10000000.0
2021-02-26,5669.91796875,10000000.0
2021-03-01,5952.9921875,10000000.0
2021-03-02,5927.6416015625,10000000.0
2021-03-03,5914.96728515625,10000000.0
2021-03-04,5678.36865234375,10000000.0
2021-03-05,5745.966796875,10000000.0
2021-03-08,5678.36865234375,10000000.0
2021-03-09,5581.19384765625,9977219.7154735
2021-03-10,5665.69384765625,10120869.7154735
2021-03-12,5716.39306640625,10207058.387348497
2021-03-15,5631.8935546875,10063409.217426622
2021-03-16,5598.09423828125,10005950.379535997
2021-03-17,5585.41943359375,9984403.211567247
2021-03-18,5665.69384765625,10120869.715473497
2021-03-19,5712.1689453125,10199877.381489122
2021-03-22,5593.869140625,9998767.713520372
2021-03-23,5547.39404296875,9919760.047504747
2021-03-24,5441.77001953125,9847780.1544829
2021-03-25,5382.62060546875,9847780.1544829
2021-03-26,5420.64501953125,9847780.1544829
2021-03-29,5374.169921875,9847780.1544829
2021-03-30,5403.7451171875,9847780.1544829
2021-03-31,5251.64599609375,9825084.063465122
2021-04-01,5260.09619140625,9840294.415027622
2021-04-05,5200.94677734375,9733825.469715122
2021-04-06,5209.39599609375,9749034.063465122
2021-04-07,5281.2216796875,9878320.293933872
2021-04-08,5256.71484375,9834207.989246372
2021-04-09,5312.40966796875,9934458.672840122
2021-04-12,5196.736328125,9726246.661121374
2021-04-13,5141.041015625,9625995.098621374
2021-04-14,5402.3779296875,10063353.091210583
2021-04-15,5380.95703125,10063353.091210583
2021-04-16,5376.6728515625,10063353.091210583
2021-04-19,5372.38916015625,10063353.091210583
2021-04-20,5342.39892578125,10063353.091210583
2021-04-21,5282.419921875,10063353.091210583
2021-04-22,5325.26220703125,10063353.091210583
2021-04-23,5475.20947265625,10063353.091210583
2021-04-26,5385.2412109375,10063353.091210583
2021-04-27,5488.06201171875,10063353.091210583
2021-04-28,5415.23046875,10063353.091210583
2021-04-29,5492.34619140625,10063353.091210583
2021-04-30,5488.06201171875,10063353.091210583
2021-05-03,5475.20947265625,10063353.091210583
2021-05-04,5483.77783203125,10063353.091210583
2021-05-05,5505.19921875,10063353.091210583
2021-05-06,5505.19921875,10063353.091210583
2021-05-07,5483.77783203125,10063353.091210583
2021-05-10,5500.9150390625,10063353.091210583
2021-05-11,5552.32470703125,10063353.091210583
2021-05-17,5569.4609375,10063353.091210583
2021-05-18,5475.20947265625,10063353.091210583
2021-05-19,5436.65185546875,10063353.091210583
2021-05-20,5466.64111328125,10063353.091210583
2021-05-21,5449.50390625,10063353.091210583
2021-05-24,5419.5146484375,10063353.091210583
2021-05-25,5445.22021484375,10063353.091210583
2021-05-27,5372.38916015625,10063353.091210583
2021-05-28,5432.36669921875,10063353.091210583
2021-05-31,5462.3564453125,10063353.091210583
2021-06-02,5539.47265625,10063353.091210583
2021-06-03,5655.1455078125,10063353.091210583
2021-06-04,5638.00927734375,10063353.091210583
2021-06-07,5595.1669921875,10063353.091210583
2021-06-08,5509.4833984375,10063353.091210583
2021-06-09,5595.1669921875,10063353.091210583
2021-06-10,5672.28271484375,10063353.091210583
2021-06-11,5543.75634765625,10063353.091210583
2021-06-14,5492.34619140625,10063353.091210583
2021-06-15,5543.75634765625,10063353.091210583
2021-06-16,5470.9248046875,10063353.091210583
2021-06-17,5423.79931640625,10063353.091210583
2021-06-18,5419.5146484375,10063353.091210583
2021-06-21,5355.25244140625,10063353.091210583
2021-06-22,5432.36669921875,10063353.091210583
2021-06-23,5338.1142578125,10063353.091210583
2021-06-24,5320.978515625,10063353.091210583
2021-06-25,5303.84130859375,10063353.091210583
2021-06-28,5188.16796875,10063353.091210583
2021-06-29,5179.60009765625,10063353.091210583
2021-06-30,5162.46240234375,10063353.091210583
2021-07-01,5162.46240234375,10063353.091210583
2021-07-02,5226.72509765625,10063353.091210583
2021-07-05,5235.2939453125,10063353.091210583
2021-07-06,5188.16796875,10063353.091210583
2021-07-07,5196.736328125,10063353.091210583
2021-07-08,5153.89404296875,10063353.091210583
2021-07-09,5158.17822265625,10063353.091210583
2021-07-12,5286.70361328125,10063353.091210583
2021-07-13,5179.60009765625,10063353.091210583
2021-07-14,5132.4736328125,10063353.091210583
2021-07-15,5239.578125,10063353.091210583
2021-07-16,5235.2939453125,10063353.091210583
